,GEO_ID,Name,Total Population,Percent Male,Percent Female,Median Age,Percent Under 18,Percent 65 and Over,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or More Races,Percent Hispanic or Latino,Total Housing Units,Median Income,Percent of Population over 25 with Bachelor's Degree or Higher
699,1400000US19161080300,Census Tract 803; Sac County; Iowa,2253,47.4,52.6,45.9,21.0,27.2,97.2,0.1,0.0,2.0,0.0,0.0,0.8,0.2,1375,76780,25.8
700,1400000US19161080400,Census Tract 804; Sac County; Iowa,2248,44.6,55.4,48.6,17.4,24.9,97.0,0.4,0.0,0.7,0.0,0.3,1.6,1.9,1265,57857,23.1
701,1400000US19163010101,Census Tract 101.01; Scott County; Iowa,3456,50.6,49.4,50.5,20.5,22.6,91.7,0.1,0.0,3.6,0.0,0.0,4.6,0.1,1578,82708,27.3
702,1400000US19163010103,Census Tract 101.03; Scott County; Iowa,4595,44.3,55.7,40.7,34.9,9.9,93.7,0.0,0.0,4.8,0.0,0.1,1.4,0.7,1738,180089,72.4
703,1400000US19163010104,Census Tract 101.04; Scott County; Iowa,4149,48.3,51.7,35.3,36.0,14.7,92.6,1.2,0.0,0.0,0.0,0.2,6.0,1.5,1674,90388,29.1
704,1400000US19163010201,Census Tract 102.01; Scott County; Iowa,6988,52.0,48.0,39.8,32.9,15.4,89.6,0.6,0.0,2.5,0.0,0.3,7.0,7.3,2772,83974,45.1
705,1400000US19163010202,Census Tract 102.02; Scott County; Iowa,5632,50.3,49.7,39.4,28.1,14.8,88.1,2.8,0.0,0.2,0.0,0.0,8.8,6.9,2110,102955,37.6
706,1400000US19163010300,Census Tract 103; Scott County; Iowa,2195,51.6,48.4,46.8,20.6,22.7,95.1,1.2,0.3,0.0,0.0,0.2,3.2,1.6,1072,93750,25.1
707,1400000US19163010401,Census Tract 104.01; Scott County; Iowa,5572,49.9,50.1,46.3,23.7,24.1,93.4,1.6,0.0,0.2,0.0,1.8,2.9,5.2,2462,78846,25.9
708,1400000US19163010402,Census Tract 104.02; Scott County; Iowa,3325,51.2,48.8,47.4,15.0,15.5,95.7,0.0,0.0,0.2,0.0,1.7,2.4,4.8,1425,128347,30.3
709,1400000US19163010600,Census Tract 106; Scott County; Iowa,2757,52.5,47.5,31.3,7.5,8.1,47.2,21.5,0.6,1.2,0.0,11.0,18.4,23.9,1400,34574,13.5
710,1400000US19163010700,Census Tract 107; Scott County; Iowa,1240,49.9,50.1,43.5,17.3,14.2,56.0,22.3,1.0,6.0,0.0,1.2,13.5,12.0,674,35327,20.9
711,1400000US19163010800,Census Tract 108; Scott County; Iowa,2645,51.4,48.6,40.7,26.5,16.4,68.8,9.1,0.6,4.6,0.0,8.4,8.5,19.9,1185,42262,8.1
712,1400000US19163010900,Census Tract 109; Scott County; Iowa,2229,50.7,49.3,35.1,18.3,10.6,65.2,19.5,2.5,2.9,0.0,3.4,6.4,12.7,1325,25027,18.4
713,1400000US19163011000,Census Tract 110; Scott County; Iowa,2735,49.8,50.2,42.0,23.8,13.5,78.6,4.3,0.4,0.4,0.0,9.3,7.1,15.0,1176,53700,6.1
714,1400000US19163011100,Census Tract 111; Scott County; Iowa,2801,48.8,51.2,35.8,22.3,16.3,84.9,4.0,0.0,2.5,0.0,1.2,7.4,3.8,1342,55899,19.1
715,1400000US19163011200,Census Tract 112; Scott County; Iowa,2347,48.6,51.4,32.4,23.4,16.6,67.5,13.8,0.0,6.1,0.0,1.0,11.5,16.8,1140,52639,18.3
716,1400000US19163011300,Census Tract 113; Scott County; Iowa,4520,46.7,53.3,20.9,26.5,5.4,75.8,17.6,0.6,1.2,0.0,0.0,4.8,13.7,1242,53938,20.6
717,1400000US19163011400,Census Tract 114; Scott County; Iowa,2359,50.9,49.1,28.0,26.7,10.9,54.6,33.3,0.0,0.0,0.0,2.5,9.7,8.4,1120,45764,11.1
718,1400000US19163011500,Census Tract 115; Scott County; Iowa,2094,49.4,50.6,35.2,23.6,8.6,76.1,17.3,0.5,0.0,0.0,1.0,5.0,2.2,1071,55338,25.9
719,1400000US19163011600,Census Tract 116; Scott County; Iowa,3315,54.9,45.1,37.7,22.5,13.3,88.2,4.2,0.0,0.0,0.0,0.0,7.6,3.0,1515,66944,32.5
720,1400000US19163011700,Census Tract 117; Scott County; Iowa,2925,48.9,51.1,38.8,15.7,12.5,85.7,2.9,0.0,0.5,0.2,2.3,8.4,9.9,1561,80275,35.2
721,1400000US19163011800,Census Tract 118; Scott County; Iowa,1996,49.7,50.3,43.4,12.4,15.6,93.0,0.0,0.0,3.6,0.0,0.0,3.4,8.7,1234,54042,31.7
722,1400000US19163011900,Census Tract 119; Scott County; Iowa,2914,49.9,50.1,41.9,21.6,22.2,79.5,2.4,0.0,0.0,0.0,5.7,12.3,12.3,1364,70859,22.8
723,1400000US19163012000,Census Tract 120; Scott County; Iowa,3702,48.6,51.4,39.1,23.5,15.9,83.9,5.9,0.5,3.5,0.0,1.1,5.2,3.5,1495,88350,27.4
